price,area,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,type_of_building
12500000,1830,3,3,3,Ready to Move,Resale,1,,2,Flat
15200000,2268,3,3,2,,New Property,,Semi-Furnished,,Flat
10500000,1821,3,3,3,Ready to Move,Resale,,,,Individual House
4000000,1115,2,2,,Ready to Move,Resale,1,,2,Flat
3330000,825,2,2,,Ready to Move,Resale,,,,Individual House
17000000,3500,4,3,2,Ready to Move,Resale,1,Semi-Furnished,1,Flat
3600000,750,2,2,2,Ready to Move,Resale,1,Semi-Furnished,1,Flat
4500000,1250,3,2,1,Ready to Move,New Property,,Unfurnished,,Flat
5500000,1375,3,3,3,Ready to Move,Resale,,,,Flat
24500000,2797,4,4,,Ready to Move,Resale,,,,Individual House
45000000,9000,10,10,10,,Resale,10,Unfurnished,,Flat
5000000,1470,3,2,3,Ready to Move,Resale,,,,Flat
12500000,3150,3,3,2,Ready to Move,Resale,,Semi-Furnished,,Flat
7400000,1530,3,2,3,Ready to Move,Resale,1,,,Flat
4100000,1200,3,2,,Ready to Move,Resale,,Furnished,,Flat
16000000,1750,3,2,3,Ready to Move,Resale,2,,2,Flat
3250000,1050,2,2,2,Ready to Move,Resale,,,,Individual House
5500000,1100,2,2,2,Ready to Move,Resale,1,,,Flat
9000000,1815,3,3,3,Ready to Move,Resale,1,,,Individual House
17500000,1600,3,2,3,Ready to Move,Resale,1,Unfurnished,4,Individual House
9900000,1650,4,3,2,Ready to Move,Resale,,Semi-Furnished,,Flat
8500000,1460,3,3,3,Ready to Move,Resale,1,Semi-Furnished,3,Flat
5890000,1150,3,2,2,Ready to Move,New Property,1,Semi-Furnished,1,Flat
9000000,1800,3,2,2,Ready to Move,Resale,,,,Flat
24000000,1632,3,3,3,Ready to Move,Resale,1,,3,Flat
12000000,1850,3,4,4,Ready to Move,Resale,,,,Flat
6400000,1390,3,3,3,Ready to Move,Resale,,,,Flat
33000000,3699,4,4,3,Ready to Move,New Property,2,,3,Individual House
10000000,1908,4,3,1,Ready to Move,Resale,,,,Individual House
8500000,1550,3,2,3,Ready to Move,Resale,1,,3,Flat
7400000,1480,3,3,,Ready to Move,Resale,,,,Individual House
4300000,968,3,2,1,Ready to Move,Resale,,Unfurnished,,Flat
5800000,1150,2,2,,,Resale,,Unfurnished,,Flat
9000000,1750,3,3,,,Resale,,Unfurnished,,Flat
3500000,800,3,2,1,Ready to Move,New Property,,Unfurnished,,Flat
12500000,1700,2,2,3,Ready to Move,Resale,1,,2,Flat
6200000,1210,2,3,3,Ready to Move,Resale,1,,3,Flat
2550000,540,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
6000000,1100,2,2,1,Ready to Move,Resale,,Furnished,,Flat
11000000,1610,3,3,3,Ready to Move,Resale,,,,Flat
11000000,2245,4,3,,Ready to Move,Resale,,,,Individual House
4100000,900,3,2,1,Ready to Move,New Property,,Furnished,1,Flat
9300000,1490,3,3,3,Ready to Move,Resale,,,,Flat
7500000,1250,3,2,2,Ready to Move,Resale,2,Semi-Furnished,1,Flat
4500000,1130,3,2,2,Ready to Move,New Property,,,2,Flat
9400000,1625,3,2,3,Ready to Move,New Property,,,,Individual House
3400000,900,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
7000000,1008,3,2,1,Ready to Move,Resale,2,Semi-Furnished,1,Flat
22500000,1900,3,3,2,Ready to Move,Resale,,Unfurnished,,Flat
20000000,2428,3,4,3,Ready to Move,Resale,2,,3,Flat
9700000,1250,3,2,2,Ready to Move,Resale,2,,0,Individual House
13500000,2800,4,4,2,Ready to Move,Resale,7,Furnished,1,Flat
4500000,800,2,2,,Ready to Move,Resale,,Semi-Furnished,,Flat
2650000,608,2,2,1,Ready to Move,Resale,,Unfurnished,,Flat
2900000,965,2,2,,Ready to Move,Resale,,,,Flat
7000000,1256,2,2,1,Ready to Move,Resale,,,,Flat
79000000,7200,5,6,4,Ready to Move,Resale,3,,2,Flat
